Gestion;Sucursal;FechaRegistroSiniestro;FechaDenunciaSiniestro;FechaSiniestro;FechaCierre ;DiasCierre;Ramo;Plan;Corredor;NumeroPoliza;MontoOrdenPago;SubEstadoSiniestro;FechaEmisionPoliza;FechaInicioPoliza;FechaFinPoliza
2022;LPZ;5/9/2022;5/9/2022;4/9/2022;15/10/2022;40; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000005;0;CERRADO DECLINADO;9/6/2022;7/6/2022;7/6/2023
2022;SCZ;8/10/2022;3/10/2022;2/10/2022;31/7/2024;662; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;4208.24;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
2022;SCZ;28/10/2022;26/10/2022;24/10/2022;1/6/2023;216; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPG-SCZ0000004;229.83;CERRADO LIQUIDADO;1/9/2022;29/7/2022;29/7/2023
2022;SCZ;1/11/2022;19/10/2022;19/10/2022;10/11/2022;9; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;61.66;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
2022;SCZ;7/12/2022;4/12/2022;4/12/2022;17/4/2024;497; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPI-SCZ0000011;9322.15;CERRADO LIQUIDADO;10/9/2022;29/8/2022;29/8/2023
2022;LPZ;28/12/2022;5/12/2022;2/12/2022;28/7/2023;212; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000005;1711.8;CERRADO LIQUIDADO;9/6/2022;7/6/2022;7/6/2023
2023;LPZ;31/1/2023;6/1/2023;6/1/2023;28/7/2023;178; ACCIDENTES PERSONALES;PLAN GENERAL;CRISTIAN ANTONIO LUNA SALAMANCA;ACPG-LPZ0000006;72.93;CERRADO LIQUIDADO;23/8/2022;5/8/2022;5/8/2023
2023;SCZ;17/2/2023;10/12/2022;2/12/2022;30/10/2023;255; ACCIDENTES PERSONALES;PLAN GENERAL;ANA KAREN PARADA ORTIZ;ACPG-SCZ0000046;2112.24;CERRADO LIQUIDADO;28/10/2022;26/10/2022;26/10/2023
2023;SCZ;23/2/2023;9/2/2023;6/2/2023;; ; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;0;ATENCION;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;20/3/2023;7/3/2023;6/3/2023;27/3/2024;373; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;1324.02;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;20/3/2023;16/3/2023;14/3/2023;; ; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;0;ATENCION;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;23/3/2023;24/2/2023;13/2/2023;27/5/2023;65; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000044;5072.89;CERRADO LIQUIDADO;15/10/2022;13/10/2022;13/10/2023
2024;SCZ;20/5/2023;17/5/2023;16/5/2023;26/8/2024;464; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;95.47;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
2023;SCZ;31/5/2023;4/5/2023;4/5/2023;24/2/2024;269; ACCIDENTES PERSONALES;PLAN GENERAL;BCS BROKERS CORPORATIVOS DE SEGUROS S.R.L.;ACPG-SCZ0000041;4604.75;CERRADO LIQUIDADO;4/10/2022;16/9/2022;16/9/2023
2023;LPZ;27/6/2023;13/2/2023;13/2/2023;29/6/2023;2; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000024;328.59;CERRADO LIQUIDADO;30/12/2022;31/12/2022;31/12/2023
2023;SCZ;21/7/2023;8/7/2023;8/7/2023;29/1/2024;192; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;BCS BROKERS CORPORATIVOS DE SEGUROS S.R.L.;ACPI-SCZ0000087;3557.57;CERRADO LIQUIDADO;17/7/2023;1/7/2023;14/9/2023
2023;SCZ;24/7/2023;10/7/2023;6/7/2023;24/10/2023;92; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;0;CERRADO DECLINADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;31/7/2023;12/7/2023;12/7/2023;17/3/2025;595; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000043;0;CERRADO PRESCRITO;14/10/2022;13/10/2022;13/10/2023
2023;SCZ;14/8/2023;4/7/2023;27/6/2023;29/8/2023;15; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;94.17;CERRADO LIQUIDADO;11/10/2022;5/10/2022;19/9/2023
2024;SCZ;23/8/2023;22/8/2023;21/8/2023;26/8/2024;369; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;429.26;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
2023;SCZ;31/8/2023;25/8/2023;18/8/2023;30/7/2024;334; ACCIDENTES PERSONALES;PLAN GENERAL;PATRIA S.A.  CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000087;2029.16;CERRADO LIQUIDADO;31/8/2023;4/8/2023;4/8/2024
2023;SCZ;28/9/2023;16/8/2023;16/8/2023;31/5/2024;246; ACCIDENTES PERSONALES;PLAN GENERAL;ANA KAREN PARADA ORTIZ;ACPG-SCZ0000050;3043.73;CERRADO LIQUIDADO;22/12/2022;16/12/2022;16/12/2023
2023;SCZ;23/10/2023;1/8/2023;1/8/2023;25/4/2024;185; ACCIDENTES PERSONALES;PLAN GENERAL;TOCARS BROKERS SRL .;ACPG-SCZ0000074;124.34;CERRADO LIQUIDADO;2/8/2023;31/7/2023;10/10/2023
2023;SCZ;23/10/2023;16/8/2023;16/8/2023;28/11/2023;36; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;34.55;CERRADO LIQUIDADO;25/8/2023;8/8/2023;31/12/2023
2023;SCZ;23/10/2023;31/8/2023;31/8/2023;28/11/2023;36; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;30.61;CERRADO LIQUIDADO;25/8/2023;8/8/2023;31/12/2023
2023;SCZ;23/10/2023;21/7/2023;21/7/2023;31/7/2024;282; ACCIDENTES PERSONALES;PLAN GENERAL;ANA KAREN PARADA ORTIZ;ACPG-SCZ0000050;931.05;CERRADO LIQUIDADO;22/12/2022;16/12/2022;16/12/2023
2023;SCZ;24/10/2023;4/8/2023;4/8/2023;25/4/2024;184; ACCIDENTES PERSONALES;PLAN GENERAL;TOCARS BROKERS SRL .;ACPG-SCZ0000074;62.97;CERRADO LIQUIDADO;22/6/2023;12/6/2023;10/10/2023
2023;SCZ;24/10/2023;18/8/2023;18/8/2023;25/4/2024;184; ACCIDENTES PERSONALES;PLAN GENERAL;TOCARS BROKERS SRL .;ACPG-SCZ0000074;153.5;CERRADO LIQUIDADO;2/8/2023;31/7/2023;10/10/2023
2023;SCZ;24/10/2023;10/10/2023;3/10/2023;29/4/2024;188; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;363.6;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;24/10/2023;27/9/2023;21/9/2023;27/3/2024;155; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;0;CERRADO DECLINADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;24/10/2023;13/9/2023;7/9/2023;29/4/2024;188; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;274.13;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;24/10/2023;13/9/2023;12/9/2023;29/4/2024;188; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;122.57;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;24/10/2023;13/9/2023;12/9/2023;29/4/2024;188; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;706.15;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;9/11/2023;2/10/2023;2/10/2023;29/11/2023;20; ACCIDENTES PERSONALES;PLAN GENERAL;CORREDORA DE SEGUROS G&G LTDA.;ACPG-SCZ0000089;258.11;CERRADO LIQUIDADO;19/9/2023;3/9/2023;3/9/2024
2023;SCZ;11/11/2023;3/11/2023;29/10/2023;23/6/2025;590; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;668.94;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;22/11/2023;18/8/2023;18/8/2023;25/4/2024;155; ACCIDENTES PERSONALES;PLAN GENERAL;TOCARS BROKERS SRL .;ACPG-SCZ0000074;47.96;CERRADO LIQUIDADO;25/7/2023;19/7/2023;10/10/2023
2023;SCZ;27/11/2023;20/11/2023;15/11/2023;28/10/2024;336; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;103.29;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;LPZ;28/11/2023;19/9/2023;15/9/2023;; ; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000017;0;ATENCION;21/7/2023;20/7/2023;15/12/2023
2023;SCZ;4/12/2023;7/11/2023;7/11/2023;19/1/2024;46; ACCIDENTES PERSONALES;PLAN GENERAL;TOCARS BROKERS SRL .;ACPG-SCZ0000109;102.52;CERRADO LIQUIDADO;30/10/2023;29/9/2023;30/8/2024
2023;SCZ;20/12/2023;24/9/2023;24/9/2023;22/2/2025;430; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPI-SCZ0000031;7630.85;CERRADO LIQUIDADO;11/10/2022;4/10/2022;4/10/2023
2024;SCZ;19/1/2024;17/1/2024;17/1/2024;; ; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000086;0;ATENCION;25/8/2023;30/7/2023;30/7/2024
2024;SCZ;19/1/2024;17/1/2024;17/1/2024;; ; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000086;0;ATENCION;25/8/2023;30/7/2023;30/7/2024
2024;LPZ;29/1/2024;27/1/2024;27/1/2024;31/7/2024;184; ACCIDENTES PERSONALES;PLAN GENERAL;PREVICOR CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000038;825.33;CERRADO LIQUIDADO;29/6/2023;22/6/2023;7/6/2024
2024;SCZ;31/1/2024;26/1/2024;26/1/2024;31/5/2024;121; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000076;364.3;CERRADO LIQUIDADO;27/7/2023;20/7/2023;20/7/2024
2024;LPZ;2/2/2024;1/2/2024;1/2/2024;3/6/2024;122; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPG-LPZ0000058;0;CIERRE DE SINIESTRO;22/12/2023;15/12/2023;15/12/2024
2024;SCZ;21/2/2024;16/2/2024;15/2/2024;30/8/2024;191; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;ROYAL BROKERS S.R.L. CORREDORES DE SEGUROS;ACPI-SCZ0000086R1;124.36;CERRADO LIQUIDADO;18/9/2023;14/9/2023;14/9/2024
2024;SCZ;21/2/2024;21/2/2024;21/2/2024;30/8/2024;191; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;644.63;CERRADO LIQUIDADO;31/1/2024;15/1/2024;30/7/2024
2024;SCZ;4/3/2024;4/3/2024;19/2/2024;28/10/2024;238; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;221.37;CERRADO LIQUIDADO;28/12/2023;1/12/2023;1/12/2024
2024;SCZ;6/3/2024;9/2/2024;8/2/2024;28/2/2025;359; ACCIDENTES PERSONALES;PLAN GENERAL;ANA KAREN PARADA ORTIZ;ACPG-SCZ0000070;61.22;CERRADO LIQUIDADO;28/4/2023;23/3/2023;23/3/2024
2024;SCZ;7/3/2024;26/1/2024;25/1/2024;31/5/2024;85; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000078;160.35;CERRADO LIQUIDADO;10/8/2023;30/7/2023;30/7/2024
2024;SCZ;14/3/2024;13/3/2024;13/3/2024;26/5/2025;438; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;1305;CERRADO LIQUIDADO;28/12/2023;1/12/2023;1/12/2024
2024;SCZ;22/3/2024;2/2/2024;2/2/2024;28/3/2024;6; ACCIDENTES PERSONALES;PLAN GENERAL;TOCARS BROKERS SRL .;ACPG-SCZ0000099;0;CERRADO RECHAZADO;12/10/2023;4/10/2023;4/10/2024
2024;LPZ;25/3/2024;21/3/2024;21/3/2024;29/6/2024;96; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000050;1755.28;CERRADO LIQUIDADO;20/10/2023;5/10/2023;5/10/2024
2024;SCZ;26/3/2024;22/3/2024;22/3/2024;31/5/2024;66; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000077;1967.76;CERRADO LIQUIDADO;27/7/2023;30/6/2023;30/6/2024
2024;SCZ;26/3/2024;24/3/2024;24/3/2024;31/5/2024;66; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPK-SCZ0000008;2708.32;CERRADO LIQUIDADO;12/9/2023;6/9/2023;6/9/2024
2024;SCZ;26/3/2024;25/3/2024;22/3/2024;23/5/2025;423; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;581.88;CERRADO LIQUIDADO;28/12/2023;1/12/2023;1/12/2024
2024;SCZ;28/3/2024;16/3/2024;12/3/2024;31/5/2024;64; ACCIDENTES PERSONALES;PLAN GENERAL;ANA KAREN PARADA ORTIZ;ACPG-SCZ0000122;2035.15;CERRADO LIQUIDADO;4/1/2024;16/12/2023;16/12/2024
2024;LPZ;28/3/2024;25/1/2024;25/1/2024;29/6/2024;93; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000050;48.1;CERRADO LIQUIDADO;20/10/2023;5/10/2023;5/10/2024
2024;SCZ;5/4/2024;2/4/2024;21/3/2024;22/5/2025;412; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;0;CERRADO RECHAZADO;28/12/2023;1/12/2023;1/12/2024
2024;LPZ;15/4/2024;8/2/2024;7/2/2024;19/4/2024;4; ACCIDENTES PERSONALES;BMSC - MENSUAL - ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000002;0;CIERRE DE SINIESTRO;9/6/2025;1/7/2025;31/7/2025
2024;LPZ;15/4/2024;12/3/2024;4/2/2024;15/4/2024;0; ACCIDENTES PERSONALES;BMSC - MENSUAL - ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000002;0;CIERRE DE SINIESTRO;6/7/2025;1/8/2025;31/8/2025
2024;LPZ;15/4/2024;12/3/2024;4/2/2024;15/4/2024;0; ACCIDENTES PERSONALES;BMSC - MENSUAL - ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000002;0;CIERRE DE SINIESTRO;6/7/2025;1/8/2025;31/8/2025
2024;LPZ;15/4/2024;12/3/2024;4/2/2024;15/4/2024;0; ACCIDENTES PERSONALES;BMSC - MENSUAL - ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000002;0;CIERRE DE SINIESTRO;6/7/2025;1/8/2025;31/8/2025
2024;LPZ;15/4/2024;12/3/2024;22/2/2024;15/4/2024;0; ACCIDENTES PERSONALES;BMSC - MENSUAL - ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000002;0;CIERRE DE SINIESTRO;6/7/2025;1/8/2025;31/8/2025
2024;SCZ;22/4/2024;11/4/2024;1/4/2024;; ; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;0;ATENCION;28/12/2023;1/12/2023;1/12/2024
2024;SCZ;23/4/2024;23/4/2024;23/4/2024;29/6/2024;67; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000078;129.23;CERRADO LIQUIDADO;10/8/2023;30/7/2023;30/7/2024
2024;CBB;23/4/2024;27/3/2024;27/3/2024;21/2/2025;304; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-CBB0000001;396.69;CERRADO LIQUIDADO;19/3/2024;28/2/2024;28/2/2025
2024;LPZ;26/4/2024;26/4/2024;25/4/2024;26/4/2024;0; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CERRADO DECLINADO;16/11/2023;16/11/2023;16/11/2024
2024;SCZ;27/4/2024;27/4/2024;27/4/2024;; ; ACCIDENTES PERSONALES;PLAN GENERAL;JORGE ABDON ARCIENEGA HURTADO;ACPG-SCZ0000124;0;ATENCION;10/1/2024;13/1/2024;13/1/2025
2024;SCZ;27/4/2024;27/4/2024;27/4/2024;31/7/2024;95; ACCIDENTES PERSONALES;PLAN GENERAL;PATRIA S.A.  CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000087;2029.15;CERRADO LIQUIDADO;31/8/2023;4/8/2023;4/8/2024
2024;LPZ;27/4/2024;27/4/2024;27/4/2024;27/4/2024;0; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CERRADO DECLINADO;26/4/2024;26/4/2024;26/4/2025
2024;LPZ;2/5/2024;30/4/2024;27/4/2024;; ; ACCIDENTES PERSONALES;PLAN GENERAL;PREVICOR CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000063;0;ATENCION;8/1/2024;11/1/2024;11/1/2025
2024;LPZ;13/5/2024;13/5/2024;8/5/2024;24/4/2025;346; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;DIEGO FERNANDO LOPEZ MENA;ACPI-LPZ0000049;0;CERRADO DECLINADO;28/2/2024;19/2/2024;19/2/2025
2024;SCZ;16/5/2024;9/4/2024;9/4/2024;29/11/2024;197; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;157.89;CERRADO LIQUIDADO;21/2/2024;1/2/2024;30/7/2024
2024;SCZ;17/5/2024;16/5/2024;6/5/2024;20/5/2025;368; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;0;CERRADO DECLINADO;28/12/2023;1/12/2023;1/12/2024
2024;SCZ;17/5/2024;16/5/2024;11/5/2024;21/5/2025;369; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;0;CERRADO DECLINADO;28/12/2023;1/12/2023;1/12/2024
2024;SCZ;24/5/2024;22/5/2024;22/5/2024;29/6/2024;36; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000077;1774.76;CERRADO LIQUIDADO;27/7/2023;30/6/2023;30/6/2024
2024;LPZ;27/5/2024;13/5/2024;13/5/2024;31/8/2024;96; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CERRADO DECLINADO;13/4/2024;13/4/2024;13/4/2025
2024;LPZ;27/5/2024;23/5/2024;23/5/2024;; ; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;ATENCION;12/3/2024;12/3/2024;12/3/2025
2024;SCZ;28/5/2024;14/12/2023;8/12/2023;30/8/2024;94; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000086;92.93;CERRADO LIQUIDADO;25/8/2023;30/7/2023;30/7/2024
2024;SCZ;28/5/2024;26/5/2024;27/11/2023;30/8/2024;94; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;123.4;CERRADO LIQUIDADO;31/8/2023;11/8/2023;31/12/2023
2024;SCZ;28/5/2024;26/5/2024;1/12/2023;30/8/2024;94; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;86.73;CERRADO LIQUIDADO;31/8/2023;11/8/2023;31/12/2023
2024;LPZ;31/5/2024;28/5/2024;26/5/2024;; ; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;DIEGO FERNANDO LOPEZ MENA;ACPI-LPZ0000057;0;ATENCION;28/2/2024;19/2/2024;19/2/2025
2024;LPZ;3/6/2024;1/2/2024;1/2/2024;29/6/2024;26; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPG-LPZ0000056;50000;CERRADO LIQUIDADO;21/12/2023;15/12/2023;15/12/2024
2024;LPZ;3/6/2024;18/5/2024;18/5/2024;26/8/2024;84; ACCIDENTES PERSONALES;PLAN GENERAL;ESTRATEGICA S.R.L. CORREDORES Y ASESORES DE SEGUROS Y RIESGOS;ACPG-LPZ0000080;20000;CERRADO LIQUIDADO;25/3/2024;27/2/2024;27/2/2025
2024;LPZ;3/6/2024;18/5/2024;17/5/2024;2/9/2024;91; ACCIDENTES PERSONALES;PLAN GENERAL;ESTRATEGICA S.R.L. CORREDORES Y ASESORES DE SEGUROS Y RIESGOS;ACPG-LPZ0000080;0;CERRADO DECLINADO;20/5/2024;18/4/2024;27/2/2025
2024;LPZ;14/6/2024;12/6/2024;11/6/2024;27/7/2024;43; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CIERRE DE SINIESTRO;18/3/2024;18/3/2024;18/3/2025
2024;LPZ;14/6/2024;6/6/2024;6/6/2024;27/7/2024;43; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CERRADO DECLINADO;22/3/2024;22/3/2024;22/3/2025
2024;LPZ;14/6/2024;2/6/2024;2/6/2024;27/8/2024;74; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPG-LPZ0000091;96.95;CERRADO LIQUIDADO;30/4/2024;31/3/2024;31/3/2025
2024;LPZ;26/6/2024;4/6/2024;4/6/2024;27/11/2024;154; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-LPZ0000073;622.28;CERRADO LIQUIDADO;8/2/2024;26/1/2024;14/10/2024
2024;SCZ;27/6/2024;24/6/2024;11/6/2024;; ; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052R1;0;ATENCION;28/12/2023;1/12/2023;1/12/2024
2024;LPZ;28/6/2024;22/5/2024;19/5/2024;28/6/2024;0; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000034;0;CERRADO DECLINADO;23/5/2023;20/5/2023;20/5/2024
2024;SCZ;28/6/2024;28/6/2024;5/4/2024;31/3/2025;276; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000085;297.23;CERRADO LIQUIDADO;31/1/2024;15/1/2024;30/7/2024
2024;LPZ;12/7/2024;11/7/2024;11/7/2024;27/8/2024;46; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPG-LPZ0000091;467.93;CERRADO LIQUIDADO;30/4/2024;31/3/2024;31/3/2025
2024;LPZ;12/7/2024;12/7/2024;12/7/2024;27/8/2024;46; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000050;99.15;CIERRE DE SINIESTRO;20/10/2023;5/10/2023;5/10/2024
2024;CBB;16/7/2024;16/7/2024;15/7/2024;26/9/2024;72; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPI-CBB0000003;86.15;CERRADO LIQUIDADO;31/5/2024;31/5/2024;31/5/2025
2024;LPZ;20/7/2024;19/7/2024;19/7/2024;20/7/2024;0; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CERRADO DECLINADO;20/4/2024;20/4/2024;20/4/2025
2024;LPZ;25/7/2024;24/7/2024;14/7/2024;25/7/2024;0; ACCIDENTES PERSONALES;BMSC - ANUAL -  ACCIDENTES PERSONALES COLECTIVO;OFICINA;ACPC-LPZ0000001;0;CERRADO RECHAZADO;28/11/2023;28/11/2023;28/11/2024
2024;SCZ;29/7/2024;24/7/2024;24/7/2024;30/8/2024;32; ACCIDENTES PERSONALES;PLAN GENERAL;HP BROKERS CORREDORES  Y ASESORES DE SEGUROS S.R.L.;ACPG-SCZ0000078;420.05;CERRADO LIQUIDADO;10/8/2023;30/7/2023;30/7/2024
